"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007088","regulation of mitotic nuclear division","9/396","118/18870",0.000861601987982385,0.0398012251670752,0.0358496967514308,"NUSAP1/ZWINT/CDCA2/MAD2L1BP/PLK1/DUSP1/DLGAP5/AURKA/BIRC5",9
"BP","GO:0046605","regulation of centrosome cycle","6/396","54/18870",0.000907429024641364,0.040241452479429,0.036246217601815,"CCNL1/CEP76/CHMP2B/AURKA/ATF5/CHORDC1",6
"BP","GO:0051348","negative regulation of transferase activity","13/396","225/18870",0.000979232229245595,0.0426024224187115,0.0383727867214143,"AKT1S1/DUSP10/PLK1/LATS1/PINX1/DUSP1/PRKRIP1/RGS14/DUSP16/PPM1E/LRP6/PRDX3/DNAJA1",13
"BP","GO:2000234","positive regulation of rRNA processing","3/396","10/18870",0.000986285786602761,0.0426024224187115,0.0383727867214143,"WDR43/RIOK1/UTP15",3
"BP","GO:0000280","nuclear division","20/396","441/18870",0.00110361631758207,0.0464636439528855,0.0418506600911201,"STAG1/NUSAP1/PIBF1/ZWINT/CDCA2/INO80/MAD2L1BP/PLK1/PINX1/KIF18A/DUSP1/DLGAP5/ERCC4/UBE2S/TOP2A/KIF11/CHMP2B/DRG1/AURKA/BIRC5",20
"CC","GO:0016607","nuclear speck","27/401","417/19886",1.14736561008134e-07,4.93367212334978e-05,4.4203769819976e-05,"CMYA5/PSPC1/SRSF3/NXF1/ABITRAM/DDX39A/SFPQ/PRPF3/BRD2/CCNL1/SGK1/WAC/SRSF6/CWC22/CHTOP/PRCC/NOC3L/RCHY1/RBM15/PPP4R3B/YTHDC1/EAF1/CWC25/HBP1/BCLAF1/SRSF1/ATP6V0A1",27
"CC","GO:0030684","preribosome","13/401","109/19886",3.04929047416503e-07,6.55597451945481e-05,5.87389638707579e-05,"PNO1/UTP20/UTP4/UTP14A/SRFBP1/NOP58/LTV1/WDR46/WDR43/RIOK1/RPS19BP1/UTP25/UTP15",13
"CC","GO:0005681","spliceosomal complex","16/401","205/19886",4.40719650044472e-06,0.000473773623797807,0.000424482610305991,"BUD31/TXNL4B/TRA2A/TRA2B/PRPF3/WAC/PTBP2/PRKRIP1/CWC22/PRPF39/PRPF38B/CWC25/PPIL1/SUGP1/ZCCHC8/SRSF1",16
"CC","GO:0005819","spindle","24/401","431/19886",8.03212621976107e-06,0.000690762854899452,0.000618896462406853,"RASSF1/AFG2B/STAG1/FLCN/NUSAP1/SBDS/HAUS2/DYNLL1/INO80/MAD2L1BP/PLK1/LATS1/PINX1/KIF18A/TRAT1/DLGAP5/RGS14/KIF11/KATNA1/CHMP2B/PPP2CA/AURKA/KBTBD8/BIRC5",24
"CC","GO:0001650","fibrillar center","13/401","150/19886",1.13357607169851e-05,0.000812396184717263,0.000727875161827462,"NUFIP1/THAP1/PSPC1/POLR1C/UTP4/TIMM44/IP6K1/NOP58/YY1AP1/GAR1/WDR43/UTP15/RSAD2",13
"CC","GO:0000775","chromosome, centromeric region","16/401","258/19886",7.52065048912387e-05,0.00461982815760466,0.00413918508123209,"STAG1/ZWINT/DYNLL1/H2BC11/PLK1/PINX1/KIF18A/FBXO28/H4C5/TOP2A/EZH2/CHMP2B/PPP2CA/AURKA/BIRC5/CENPU",16
"CC","GO:0017053","transcription repressor complex","8/401","77/19886",0.000159294417590897,0.00856207494551072,0.00767128379450899,"RELB/MXD1/AKIRIN2/LIN52/ARID4A/GPS2/ELANE/H1-0",8
"CC","GO:0031965","nuclear membrane","17/401","311/19886",0.000209044513510197,0.00953842499974541,0.00854605520173029,"IFI27/AEN/RRP12/DTL/DNAJC2/TRA2B/EPC1/ZMPSTE24/MAD2L1BP/ALG14/STX1A/ANKRD17/MX1/KPNA2/DNAJB2/RBM15/NUDT9",17
"CC","GO:0005874","microtubule","22/401","467/19886",0.000221823837203382,0.00953842499974541,0.00854605520173029,"RASSF1/NUSAP1/DYNC2H1/HSPH1/HAUS2/DYNLL1/INO80/WHAMM/PLK1/CCDC66/KIF18A/DNAL1/MX1/RGS14/KIF11/KATNA1/WDR47/GABARAPL1/CHMP2B/AURKA/BIRC5/SYNJ1",22
"CC","GO:0000786","nucleosome","10/401","134/19886",0.000393915628955743,0.0141153100375808,0.0126467649296318,"H2AC6/H1-2/H2AC25/EPC1/H2BC21/H2BC11/ING3/H2BC5/H4C5/H1-0",10
"CC","GO:0000220","vacuolar proton-transporting V-type ATPase, V0 domain","3/401","10/19886",0.000878885431347695,0.0246795891326891,0.0221119452204754,"RNASEK/ATP6V0B/ATP6V0A1",3
"CC","GO:1990877","FNIP-folliculin RagC/D GAP","3/401","10/19886",0.000878885431347695,0.0246795891326891,0.0221119452204754,"FLCN/LAMTOR3/RRAGC",3
"CC","GO:0033179","proton-transporting V-type ATPase, V0 domain","3/401","12/19886",0.00156362618390726,0.0353873294252696,0.031705661125211,"RNASEK/ATP6V0B/ATP6V0A1",3
"CC","GO:0090575","RNA polymerase II transcription regulator complex","13/401","254/19886",0.00204240679233965,0.0439117460353024,0.0393432045261216,"JUN/ATF3/FOS/GTF2H1/TCF7L2/SFPQ/ATF1/DDIT3/TAF2/RARA/JUNB/ATF5/MAFF",13
"MF","GO:0140098","catalytic activity, acting on RNA","26/400","395/18496",5.37559179594617e-07,0.000297270226315823,0.000260291813277393,"TYW1B/TFB2M/ALKBH1/POLR1C/ALKBH8/RNASEK/TRMT13/DDX21/DDX39A/TRIT1/TRMO/DHX29/DUS3L/ZC3H12A/NOP2/DDX10/YARS2/RPP30/DDX27/METTL16/CRCP/PTRH2/POLR3C/DXO/SUPV3L1/DDX52",26
"MF","GO:0008330","protein tyrosine/threonine phosphatase activity","4/400","10/18496",4.0813615734392e-05,0.00752330983370626,0.00658746078520012,"DUSP8/DUSP10/DUSP1/DUSP16",4
"MF","GO:0033550","MAP kinase tyrosine phosphatase activity","4/400","10/18496",4.0813615734392e-05,0.00752330983370626,0.00658746078520012,"DUSP8/DUSP10/DUSP1/DUSP16",4
"MF","GO:0030515","snoRNA binding","6/400","32/18496",5.54476699182928e-05,0.00760886422143244,0.00666237278358984,"NUFIP1/DDX21/NOP58/NUDT16L1/GAR1/UTP25",6
"MF","GO:0043022","ribosome binding","9/400","109/18496",0.000600434018913127,0.0271087840761656,0.0237366340059697,"SBDS/DNAJC2/EIF1/NMD3/DHX29/ZC3H12A/SEC61A2/LTN1/ABCE1",9
"MF","GO:0060590","ATPase regulator activity","6/400","49/18496",0.000627913553264538,0.0271087840761656,0.0237366340059697,"HSPH1/DNAJC2/HSPBP1/DNAJB2/BAG1/DNAJA1",6
"MF","GO:0015631","tubulin binding","19/400","379/18496",0.000637277021682013,0.0271087840761656,0.0237366340059697,"NUSAP1/HSPH1/SBDS/INO80/WHAMM/PLK1/CCDC66/KIF18A/DNAL1/MX1/DLGAP5/RGS14/KIF11/KATNA1/GABARAPL1/DRG1/ATF5/BIRC5/VAPB",19
"MF","GO:0031490","chromatin DNA binding","9/400","120/18496",0.00119692266627639,0.0410067489269181,0.0359057856788471,"H1-2/CREBBP/KDM6A/GRHL1/PAX6/RARA/EZH2/EP300/H1-0",9
"MF","GO:0030527","structural constituent of chromatin","8/400","97/18496",0.001206385182685,0.0410067489269181,0.0359057856788471,"H2AC6/H1-2/H2AC25/H2BC21/H2BC11/H2BC5/H4C5/H1-0",8
"MF","GO:0003724","RNA helicase activity","7/400","76/18496",0.00127322276559748,0.0410067489269181,0.0359057856788471,"DDX21/DDX39A/DHX29/DDX10/DDX27/SUPV3L1/DDX52",7
"MF","GO:0046982","protein heterodimerization activity","17/400","344/18496",0.0014117856769891,0.0410067489269181,0.0359057856788471,"H2AC6/AOC3/ATF3/KRT10/H2AC25/H2BC21/H2BC11/RRAGC/DDIT3/H2BC5/H4C5/ABTB2/TOP2A/KATNA1/PPP2CA/AURKA/VAPB",17
"MF","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","17/400","344/18496",0.0014117856769891,0.0410067489269181,0.0359057856788471,"JUN/IFI27/BUD31/FOS/GTF2H1/CREBBP/CCDC62/TCF7L2/LATS1/MED13/ID2/DDIT3/GABARAPL1/TOB2/NFKBIA/EP300/DNAJA1",17
"MF","GO:0008186","ATP-dependent activity, acting on RNA","7/400","78/18496",0.00148306506064803,0.0410067489269181,0.0359057856788471,"DDX21/DDX39A/DHX29/DDX10/DDX27/SUPV3L1/DDX52",7
"MF","GO:0001098","basal transcription machinery binding","6/400","60/18496",0.00184221515458807,0.0442932600211827,0.0387834769386962,"PCF11/SCAF8/NOP58/WAC/ERCC4/WDR43",6
"MF","GO:0001099","basal RNA polymerase II transcription machinery binding","6/400","60/18496",0.00184221515458807,0.0442932600211827,0.0387834769386962,"PCF11/SCAF8/NOP58/WAC/ERCC4/WDR43",6
