Archivo_aln,Accession,Organismo,Gen,Producto,Proteína
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cigR,anti-virulence regulatory inner membrane protein CigR,WVL21334.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,isochorismatase family protein,WVL21335.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,winged helix-turn-helix domain-containing protein,WVL23591.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL23592.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,misL,intestinal colonization autotransporter adhesin MisL,WVL21336.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,helix-turn-helix transcriptional regulator,WVL21337.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,transposase,ND
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,transposase,ND
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,glycoside-pentoside-hexuronide family transporter,WVL21338.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yicI,alpha-xylosidase,WVL21339.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,AsmA family protein,WVL21340.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,xanP,xanthine/proton symporter XanP,WVL21341.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gltS,sodium/glutamate symporter,WVL21342.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,recG,ATP-dependent DNA helicase RecG,WVL21343.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,trmH,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,WVL21344.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,spoT,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase",WVL21345.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rpoZ,DNA-directed RNA polymerase subunit omega,WVL21346.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gmk,guanylate kinase,WVL21347.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ligB,NAD-dependent DNA ligase LigB,WVL21348.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,trimeric intracellular cation channel family protein,WVL21349.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,HARLDQ motif MBL-fold protein,WVL21350.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,LysR family transcriptional regulator,WVL21351.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YicC/YloC family endoribonuclease,WVL21352.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rph,ribonuclease PH,WVL21353.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pyrE,orotate phosphoribosyltransferase,WVL21354.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,slmA,nucleoid occlusion factor SlmA,WVL21355.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dut,dUTP diphosphatase,WVL21356.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,WVL23593.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,radC,RadC family protein,WVL21357.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rpmB,50S ribosomal protein L28,WVL21358.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rpmG,50S ribosomal protein L33,WVL21359.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mutM,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,WVL21360.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,coaD,pantetheine-phosphate adenylyltransferase,WVL21361.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,waaA,lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase,WVL21362.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rfaQ,lipopolysaccharide core heptosyltransferase RfaQ,WVL21363.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,glycosyltransferase family 4 protein,WVL21364.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rfaP,lipopolysaccharide core heptose(I) kinase RfaP,WVL21365.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,glycosyltransferase,WVL21366.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,waaB,"lipopolysaccharide 1,6-galactosyltransferase",WVL21367.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,waaO,lipopolysaccharide 3-alpha-galactosyltransferase,WVL21368.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rfaJ,"lipopolysaccharide 1,2-glucosyltransferase RfaJ",WVL21369.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rfaY,lipopolysaccharide core heptose(II) kinase RfaY,WVL21370.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,waaZ,3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ,WVL21371.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,lipopolysaccharide N-acetylglucosaminyltransferase,WVL21372.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rfaL,O-antigen ligase RfaL,WVL21373.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rfaC,lipopolysaccharide heptosyltransferase RfaC,WVL21374.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rfaF,ADP-heptose--LPS heptosyltransferase RfaF,WVL21375.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rfaD,ADP-glyceromanno-heptose 6-epimerase,WVL21376.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,kbl,glycine C-acetyltransferase,WVL21377.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,tdh,L-threonine 3-dehydrogenase,WVL21378.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,glycosyltransferase,WVL21379.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,divergent polysaccharide deacetylase family protein,WVL21380.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,envC,murein hydrolase activator EnvC,WVL23594.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gpmM,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",WVL21381.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,rhodanese-like domain-containing protein,WVL21382.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,grxC,glutaredoxin 3,WVL21383.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,secB,protein-export chaperone SecB,WVL21384.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,WVL21385.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cysE,serine O-acetyltransferase,WVL21386.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MFS transporter,WVL21387.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,L-talarate/galactarate dehydratase,WVL21388.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,LacI family DNA-binding transcriptional regulator,WVL21389.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,trmL,tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL,WVL21390.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,lldD,FMN-dependent L-lactate dehydrogenase LldD,WVL21391.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,lldR,transcriptional regulator LldR,WVL21392.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,lldP,L-lactate permease,WVL21393.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,sadA,trimeric autotransporter adhesin SadA,WVL21394.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF3251 domain-containing protein,WVL21395.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YibL family ribosome-associated protein,WVL21396.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL21397.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mtlR,mannitol operon repressor MtlR,WVL21398.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mtlD,mannitol-1-phosphate 5-dehydrogenase,WVL21399.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mtlA,PTS mannitol transporter subunit IICBA,WVL21400.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,glutathione S-transferase,WVL21401.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,selA,L-seryl-tRNA(Sec) selenium transferase,WVL21402.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,selB,selenocysteine-specific translation elongation factor,WVL21403.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,ROK family protein,WVL21404.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,aldB,aldehyde dehydrogenase AldB,WVL21405.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,glycoside hydrolase family 127 protein,WVL21406.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,helix-turn-helix domain-containing protein,WVL21407.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,araD,L-ribulose-5-phosphate 4-epimerase,WVL21408.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,L-ribulose-5-phosphate 3-epimerase,WVL21409.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ulaD,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,WVL21410.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,FGGY-family carbohydrate kinase,WVL21411.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yiaO,"2,3-diketo-L-gulonate TRAP transporter substrate-binding protein YiaO",WVL21412.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yiaN,"2,3-diketo-L-gulonate TRAP transporter large permease YiaN",WVL21413.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yiaM,"2,3-diketo-L-gulonate TRAP transporter small permease YiaM",WVL21414.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF4862 family protein,WVL21415.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YhcH/YjgK/YiaL family protein,WVL21416.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yiaK,3-dehydro-L-gulonate 2-dehydrogenase,WVL21417.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yiaJ,IclR family transcriptional regulator YiaJ,WVL21418.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,4Fe-4S dicluster domain-containing protein,WVL21419.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,avtA,valine--pyruvate transaminase,WVL21420.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,alpha-amylase,WVL21421.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,protein bax,WVL21422.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,xylR,D-xylose utilization transcriptional activator XylR,WVL21423.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,xylA,xylose isomerase,WVL21424.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,xylB,xylulokinase,WVL21425.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YiaA/YiaB family inner membrane protein,WVL21426.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,acyltransferase,WVL21427.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YsaB family lipoprotein,WVL21428.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,glyQ,glycine--tRNA ligase subunit alpha,WVL21429.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,glyS,glycine--tRNA ligase subunit beta,WVL21430.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,transposase,ND
